filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rolloff,energy
Emmanuel_approve_pitch.wav,-287.55838,56.035294,19.479279,6.33568,-3.3015363,21.939602,-12.333787,-8.617486,-9.729308,-10.8815565,-3.2686818,-8.801113,-3.1854677,4334.665697674419,0.032645755
Emmanuel_approve_stretch.wav,-279.4602,54.39839,26.379963,9.404324,-3.9329572,18.167166,5.1687646,-12.204469,-2.9711494,-14.983931,-4.2698345,-8.356389,-5.0508137,4432.074652777777,0.033990994
Emmanuel_approve_noise.wav,-208.52647,36.39861,22.43814,7.534268,0.8006919,11.542275,3.8937063,-6.2432923,-2.7205536,-9.277547,-5.7404165,-5.4074626,-5.658447,5427.143895348837,0.047773965
Emmanuel_confirm_trimmed.wav,-254.98578,77.18362,-9.499999,8.124072,22.069319,16.21924,-16.269835,-9.124265,-2.80909,-10.824418,-8.419573,-5.296628,-11.797416,3797.1875,0.030524988
Emmanuel_confirm_pitch.wav,-273.0656,69.536255,-8.736014,13.381408,21.34101,3.003795,-23.040398,-4.8583336,-9.466667,-10.768412,-9.004319,-9.042506,-9.411035,4169.84375,0.021452522
Emmanuel_confirm_stretch.wav,-261.92645,73.53964,-4.9253025,6.4782047,19.469994,14.554045,-16.721424,-9.969589,-6.4253736,-7.901324,-10.198879,-2.2452233,-12.417058,4196.6463414634145,0.02167904
Emmanuel_confirm_noise.wav,-205.6896,45.398926,3.9252353,6.2506347,17.719103,11.56869,-7.150748,-7.3860097,-4.684538,-5.296004,-7.880814,-3.8435984,-6.8547454,5400.15625,0.031004615
Leny_approve_trimmed.wav,-435.41647,66.096275,-31.505632,51.038597,-10.136904,25.42205,-21.872583,12.650219,-2.9079022,3.933581,-1.4045327,7.7011414,-9.591949,9836.9140625,0.01037493
Leny_approve_pitch.wav,-462.44333,50.889126,-18.740883,41.89873,-3.8798325,13.458627,-17.161564,11.200154,-3.4143667,0.9411436,4.7442555,-1.0952835,1.1967441,10936.1328125,0.0071844985
Leny_approve_stretch.wav,-465.99094,63.531654,-31.368555,52.015347,-9.762362,24.872429,-21.61979,12.57,-2.3986118,4.1754436,-1.4060289,7.090105,-8.873966,9833.90625,0.007284262
Leny_approve_noise.wav,-315.0872,8.360842,-0.9968923,16.259115,4.4672027,3.3200324,-4.3995347,-1.2295903,-0.1393431,-1.7755568,2.4757895,-1.1242522,-1.026657,18335.9375,0.012365124
Leny_confirm_trimmed.wav,-467.6981,97.241905,-27.8674,25.196836,-6.382392,20.709795,-18.06834,15.129052,-0.61219436,3.4093995,-1.763068,9.758425,-5.7247887,9809.067234848484,0.006565456
Leny_confirm_pitch.wav,-494.2897,81.849335,-20.864174,19.848043,-0.6452999,9.981618,-12.711106,14.62575,-0.06429591,1.2578498,6.5213075,3.6208098,3.7822843,10913.470643939394,0.004705599
Leny_confirm_stretch.wav,-497.6431,94.48611,-27.996881,27.573093,-7.4884276,19.120283,-18.934376,14.401817,-0.89136535,1.9380943,-2.160305,9.786027,-5.9189024,9837.5,0.0045653027
Leny_confirm_noise.wav,-320.36716,18.793398,1.6821144,6.2733994,1.9935133,-0.8116677,-3.6896145,-1.5467149,0.09215627,-1.3871671,0.7889391,1.0910246,0.733039,19103.811553030304,0.009172868
